iter	MultiClass
310	0.3541775357
311	0.3539173158
312	0.3530569533
313	0.3525250417
314	0.3521262273
315	0.3520282689
316	0.3517197087
317	0.3514383736
318	0.3513359084
319	0.350333813
320	0.3501112971
321	0.3498224618
322	0.3493325418
323	0.3490935987
324	0.3489236166
325	0.3487009412
326	0.3481154692
327	0.3475446748
328	0.3469177761
329	0.3456894512
330	0.3454447585
331	0.3452637824
332	0.345137308
333	0.3449409599
334	0.3442634766
335	0.3432346765
336	0.343144631
337	0.3429840785
338	0.3429073995
339	0.3426673978
340	0.3423214651
341	0.3421613847
342	0.3417862744
343	0.3414977042
344	0.341362342
345	0.3407170697
346	0.3404736949
347	0.3399485179
348	0.3389796272
349	0.3388222357
350	0.3384086732
351	0.3383036581
352	0.337988135
353	0.3376737757
354	0.3372344388
355	0.3368441174
356	0.3367451754
357	0.3366510749
358	0.3365371371
359	0.3364133978
360	0.336292437
361	0.3361681602
362	0.3359744819
363	0.3358225984
364	0.3356296339
365	0.3354558674
366	0.3350742496
367	0.3349073283
368	0.334819037
369	0.3346751529
370	0.334151864
371	0.3338971654
372	0.3337932532
373	0.3336408789
374	0.3334437968
375	0.3328012578
376	0.3322175914
377	0.3319413376
378	0.3317763223
379	0.3315386227
380	0.3314639008
381	0.3312087921
382	0.3309230161
383	0.3307487063
384	0.3306185438
385	0.330514387
386	0.3301059755
387	0.3297919431
388	0.3296305936
389	0.3288818201
390	0.3286093018
391	0.3283420614
392	0.3280969524
393	0.327838078
394	0.3277240412
395	0.3276329984
396	0.327224622
397	0.3271377945
398	0.3267982118
399	0.3261082412
400	0.3259901462
401	0.3259052
402	0.3258215053
403	0.3256495521
404	0.3255520532
405	0.3254787216
406	0.3249169522
407	0.3241704473
408	0.3229398584
409	0.3228121488
410	0.3226776959
411	0.3226009759
412	0.3224813887
413	0.3224062891
414	0.3222219777
415	0.3218046852
416	0.3216411227
417	0.3215587282
418	0.3212995172
419	0.3211872232
420	0.3210350909
421	0.3205464813
422	0.3204404647
423	0.3203088504
424	0.3200422245
425	0.3198962435
426	0.3198008547
427	0.3196195559
428	0.3193253447
429	0.3192220004
430	0.3189784537
431	0.318666067
432	0.3181720039
433	0.3180575286
434	0.3178357805
435	0.3177578653
436	0.3175113978
437	0.3173822757
438	0.3171798725
439	0.3170945994
440	0.3169983285
441	0.3166363973
442	0.3165620741
443	0.3164777373
444	0.3163702653
445	0.3162772781
446	0.3159362335
447	0.3158448027
448	0.3157833727
449	0.3153074938
450	0.3151734478
451	0.3148570706
452	0.3147547059
453	0.3145726467
454	0.3140773266
455	0.3139714578
456	0.3139149841
457	0.3137056427
458	0.3136070359
459	0.3135030303
460	0.3134180598
461	0.3132633094
462	0.3131260013
463	0.3129883438
464	0.3126903026
465	0.3126143629
466	0.3125376485
467	0.3120889133
468	0.3116305802
469	0.3104985525
470	0.3103214054
471	0.3099317807
472	0.309518188
473	0.309058498
474	0.3088363195
475	0.3087470899
476	0.3086498978
477	0.3081820069
478	0.3075179079
479	0.3074059888
480	0.3073313978
481	0.3069961156
482	0.3069087933
483	0.3068154927
484	0.3067109289
485	0.3062863061
486	0.306166807
487	0.3060899507
488	0.3058658611
489	0.3056913999
490	0.3056394227
491	0.3052283054
492	0.3050762947
493	0.3047865146
494	0.3047195739
495	0.3043044685
496	0.303933436
497	0.3036545434
498	0.3035580985
499	0.3029350106
