iter	MultiClass
0	1.527064726
1	1.461250467
2	1.408204688
3	1.349726913
4	1.298966761
5	1.257282262
6	1.21936501
7	1.179498624
8	1.148938657
9	1.115901248
10	1.089890816
11	1.061648802
12	1.031037369
13	1.010667711
14	0.9912413759
15	0.9720077408
16	0.9543482544
17	0.939759434
18	0.9209854921
19	0.9091168864
20	0.9031818059
21	0.8896718459
22	0.8771846643
23	0.870206202
24	0.8570602103
25	0.8425381614
26	0.8383644092
27	0.828888727
28	0.8185256956
29	0.8126661479
30	0.8108275631
31	0.8053271355
32	0.7980147037
33	0.7916317961
34	0.7905435332
35	0.7771794931
36	0.7720961891
37	0.7696916278
38	0.7645632758
39	0.7570550751
40	0.7477447587
41	0.7422521783
42	0.7408773923
43	0.7302759085
44	0.7270928676
45	0.7203155772
46	0.7155735434
47	0.7113619988
48	0.7093490701
49	0.707523769
50	0.7056025583
51	0.6993029503
52	0.6953063301
53	0.6869355328
54	0.6858670848
55	0.6795228463
56	0.6741055175
57	0.665554848
58	0.664130772
59	0.660237517
60	0.659465041
61	0.6566281425
62	0.6537641341
63	0.6503590859
64	0.6489928816
65	0.6450678869
66	0.6392769915
67	0.6387983733
68	0.6360634923
69	0.6346839859
70	0.6337142794
71	0.6323566429
72	0.6282972971
73	0.6262560507
74	0.6251934237
75	0.6237478698
76	0.6216388549
77	0.6197207191
78	0.6184015032
79	0.6173827153
80	0.6119102368
81	0.6056844174
82	0.6023667685
83	0.6006828605
84	0.5998396003
85	0.5989075147
86	0.5979776823
87	0.5973316186
88	0.5959207903
89	0.5945249632
90	0.5940794785
91	0.5922046674
92	0.5915801698
93	0.5890244001
94	0.5882656068
95	0.5824604143
96	0.581247444
97	0.5778400666
98	0.5757552349
99	0.575014225
100	0.5735590417
101	0.5710447684
102	0.5704606866
103	0.5694833739
104	0.5678567751
105	0.5648426807
106	0.5644856266
107	0.563817978
108	0.5602870117
109	0.5588821763
110	0.5579535212
111	0.5550861883
112	0.5539804555
113	0.5524327461
114	0.5513302908
115	0.5503610829
116	0.5485981782
117	0.5462960558
118	0.5441486767
119	0.5395689568
120	0.5388870048
121	0.5377496202
122	0.5368173715
123	0.5347599132
124	0.5333654253
125	0.5312249912
126	0.530346712
127	0.5287769676
128	0.5267502238
129	0.5258425926
130	0.5246330014
131	0.5237446914
132	0.522921796
133	0.518335179
134	0.5175272183
135	0.5169953516
136	0.5156253271
137	0.5147488907
138	0.5143013408
139	0.5135854299
140	0.5122106694
141	0.5112736086
142	0.5093002638
143	0.5079464797
144	0.5057626631
145	0.5050751873
146	0.5042539572
147	0.5032718119
148	0.5016957757
149	0.5013107173
150	0.497292206
151	0.495835589
152	0.495161523
153	0.4937035473
154	0.4921885031
155	0.4912062729
156	0.4894040802
157	0.4887518311
158	0.4879556157
159	0.4874926203
160	0.4869886939
161	0.485336036
162	0.4836830701
163	0.4811015988
164	0.4803039625
165	0.476630622
166	0.475372476
167	0.4744910265
168	0.4733346345
169	0.4717913384
170	0.4677861031
171	0.4656441127
172	0.4622028397
173	0.4601014039
174	0.4596063437
175	0.4574275819
176	0.4563315508
177	0.4545699636
178	0.4538599095
179	0.4517760928
180	0.4513386822
181	0.4509224862
182	0.4491978365
183	0.4487685612
184	0.4478369062
185	0.4474803748
186	0.4444801641
187	0.4440223542
188	0.4428326823
189	0.442319882
190	0.4419866433
191	0.4418969347
192	0.440931578
193	0.4404224112
194	0.4387206179
195	0.4366603419
196	0.4355724198
197	0.4353153948
198	0.4337326043
199	0.431948968
200	0.4317967905
201	0.4306693187
202	0.4270792754
203	0.4266431289
204	0.4252033351
205	0.4243305693
206	0.4241763973
207	0.4230283617
208	0.4217058093
209	0.4213688893
210	0.4210457949
211	0.4202980113
212	0.4195167225
213	0.416488635
214	0.4154050747
215	0.4140743351
216	0.4129065531
217	0.4126156551
218	0.4105758547
219	0.410016383
220	0.4092790308
221	0.4089256511
222	0.4077956703
223	0.4069096643
224	0.405503816
225	0.4051810145
226	0.4049633599
227	0.4033802172
228	0.4020803408
229	0.4016058549
230	0.4011392849
231	0.4001930475
232	0.3996185968
233	0.399133663
234	0.3986943056
235	0.3983895983
236	0.398241367
237	0.3976598746
238	0.3967961762
239	0.395399412
240	0.3945462042
241	0.3937231077
242	0.3926020695
243	0.3923874322
244	0.3918488723
245	0.3912669518
246	0.3907669573
247	0.3893372835
248	0.3888153134
249	0.3876528058
250	0.3870946063
251	0.385965757
252	0.3842475945
253	0.3839418192
254	0.3825324693
255	0.3808542151
256	0.3792310211
257	0.3791072597
258	0.3781744673
259	0.3773876022
260	0.3771753254
261	0.3769650207
262	0.3767922293
263	0.3764634051
264	0.3760898317
265	0.375621219
266	0.3749102077
267	0.374329762
268	0.3739129733
269	0.3735442126
270	0.3725982209
271	0.3712321681
272	0.3709962065
273	0.3708193024
274	0.3705538311
275	0.3702964717
276	0.3701194082
277	0.3697473561
278	0.3694058925
279	0.3686703189
280	0.3684169377
281	0.367294868
282	0.3671035737
283	0.3665125589
284	0.3662292133
285	0.3655480683
286	0.3650451897
287	0.3647352461
288	0.3637106579
289	0.3631090163
290	0.3616698961
291	0.3609630387
292	0.3607110099
293	0.3603479141
294	0.3595546148
295	0.359192954
296	0.3589909571
297	0.358818069
298	0.3585785504
299	0.3583965339
300	0.3582724353
301	0.3581383145
302	0.3578255078
303	0.3574177034
304	0.3565802815
305	0.3561448356
306	0.3556577931
307	0.3548843222
308	0.3547876256
309	0.3543027699
