iter	Passed	Remaining
399	97298	24324
400	97535	24079
401	97780	23837
402	98019	23592
403	98262	23349
404	98508	23106
405	98751	22863
406	98994	22620
407	99232	22375
408	99478	22133
409	99716	21889
410	99963	21646
411	100211	21404
412	100452	21160
413	100692	20916
414	100932	20672
415	101172	20429
416	101422	20187
417	101668	19944
418	101928	19704
419	102170	19461
420	102413	19217
421	102661	18975
422	102907	18732
423	103148	18488
424	103392	18245
425	103637	18002
426	103885	17760
427	104131	17517
428	104380	17275
429	104619	17031
430	104863	16787
431	105114	16545
432	105355	16302
433	105599	16058
434	105839	15815
435	106086	15572
436	106338	15330
437	106572	15085
438	106807	14841
439	107044	14597
440	107284	14353
441	107527	14109
442	107766	13866
443	108014	13623
444	108257	13380
445	108499	13136
446	108738	12892
447	108979	12649
448	109226	12406
449	109465	12162
450	109712	11920
451	109951	11676
452	110194	11432
453	110432	11189
454	110684	10946
455	110931	10703
456	111204	10463
457	111461	10221
458	111709	9978
459	111957	9735
460	112200	9491
461	112439	9248
462	112688	9005
463	112938	8762
464	113184	8519
465	113437	8276
466	113682	8033
467	113934	7790
468	114178	7546
469	114426	7303
470	114696	7061
471	114940	6818
472	115185	6575
473	115429	6331
474	115670	6087
475	115917	5844
476	116156	5600
477	116400	5357
478	116637	5113
479	116917	4871
480	117158	4627
481	117411	4384
482	117656	4141
483	117898	3897
484	118145	3653
485	118393	3410
486	118635	3166
487	118869	2923
488	119113	2679
489	119357	2435
490	119598	2192
491	119835	1948
492	120072	1704
493	120312	1461
494	120559	1217
495	120796	974
496	121036	730
497	121265	487
498	121502	243
499	121749	0
